% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
4.570881896148752E-4                              -2.452177715742687E-10-6.346344138657338E-7i      -4.7988914936816624E-11-7.87492106988537E-7i      -1.8360084949517748E-11-8.414473541895791E-7i     -9.786561653841853E-12-8.658978611115036E-7i      -6.097600859937383E-12-8.7999690494132E-7i
4.7863009232263854E-4                             -2.567744950848937E-10-6.346344387124718E-7i      -5.025056219534504E-11-7.874921086062114E-7i      -1.922536901585439E-11-8.414473545518062E-7i      -1.024778807342456E-11-8.65897861250108E-7i       -6.384971926839916E-12-8.799969050089796E-7i
5.011872336272725E-4                              -2.6887586515443937E-10-6.346344659563628E-7i     -5.2618797512775865E-11-7.874921103799271E-7i     -2.013143265208926E-11-8.414473549490129E-7i      -1.0730751421283068E-11-8.658978614020616E-7i     -6.685886373672012E-12-8.799969050832098E-7i
5.248074602497723E-4                              -2.8154754943801806E-10-6.346344958286817E-7i     -5.5098644215866676E-11-7.874921123247911E-7i     -2.1080197738461806E-11-8.414473553844901E-7i     -1.123647612681438E-11-8.658978615686906E-7i      -7.000982480065736E-12-8.799969051645221E-7i
5.495408738576248E-4                              -2.9481642515898977E-10-6.346345285830378E-7i     -5.7695362371356593E-11-7.874921144572715E-7i     -2.2073676730244968E-11-8.414473558620509E-7i     -1.1766034899225031E-11-8.658978617513687E-7i     -7.330928606855886E-12-8.79996905253727E-7i
5.754399373371566E-4                              -3.0871063609847326E-10-6.346345644974401E-7i     -6.041445994312056E-11-7.874921167955146E-7i      -2.311397692665761E-11-8.414473563856264E-7i      -1.2320551002843298E-11-8.658978619517065E-7i     -7.676424613680362E-12-8.799969053515615E-7i
6.025595860743581E-4                              -3.232596522669885E-10-6.346346038767685E-7i      -6.326170447449347E-11-7.874921193593285E-7i      -2.4203304940405255E-11-8.414473569596999E-7i     -1.2901200639741494E-11-8.65897862171351E-7i      -8.038203343555848E-12-8.799969054587676E-7i
6.30957344480193E-4                               -3.3849433238673876E-10-6.346346470553149E-7i     -6.624313532185136E-11-7.874921221704991E-7i      -2.53439713782919E-11-8.4144735758923E-7i         -1.3509215444583098E-11-8.658978624122256E-7i     -8.417032177262318E-12-8.799969055763557E-7i
6.606934480075965E-4                              -3.5444698931427346E-10-6.346346943996056E-7i     -6.936507646402894E-11-7.874921252528969E-7i      -2.6538395742238528E-11-8.414473582794382E-7i     -1.4145885097031672E-11-8.658978626762959E-7i     -8.813714661061113E-12-8.799969057052752E-7i
6.918309709189362E-4                              -3.7115145854340504E-10-6.346347463115715E-7i     -7.263414991580928E-11-7.874921286326509E-7i      -2.7789111561286787E-11-8.414473590362883E-7i     -1.4812560057398337E-11-8.658978629658505E-7i     -9.229092211176168E-12-8.79996905846615E-7i
